#{"t_start": 1605156579.3429224, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-1348.846354,148,121.991538,0
-1330.671091,173,123.277817,0
-458.321256,55,123.334564,0
-455.575575,67,123.940419,0
-1499.075205,141,124.637641,0
-541.18717,98,125.246126,0
-1370.293492,111,126.361727,0
-1296.398113,141,127.007957,0
-1334.540814,115,127.645672,0
-1294.503487,156,128.850844,0
-1402.665855,199,130.362722,0
-1547.73163,139,131.040272,0
-1499.45395,138,131.713704,0
-1353.187008,147,132.908532,0
-1527.869708,146,133.568081,0
-835.535499,197,134.798448,0
-1308.384432,188,136.027296,0
-1599.688184,151,137.201851,0
-1502.839943,180,137.901077,0
-1401.66642,175,139.112328,0
-1550.318227,155,140.26731,0
-1604.491192,164,140.935853,0
-1602.069792,169,142.133077,0
-1645.299836,245,143.915568,0
-1835.331299,305,145.744543,0
-1333.159827,171,146.452931,0
-1653.783155,291,148.300625,0
-2032.862654,316,150.181007,0
-1506.315663,158,151.379413,0
-1407.517422,143,152.044055,0
-2031.408321,289,153.874055,0
-1504.65613,152,155.044201,0
-1974.08964,279,156.889531,0
-1399.247267,122,157.575168,0
-1256.474869,147,158.299062,0
-1256.520555,115,158.969804,0
-1501.128257,156,160.21128,0
-1433.649704,161,161.423079,0
-1364.592419,233,162.677336,0
-1362.652209,146,163.33226,0
-1402.035337,120,164.472633,0
-1380.560416,115,165.091076,0
-1315.560156,145,165.75416,0
-1371.483191,148,166.942521,0
-1557.611884,187,168.176808,0
-1484.345088,162,168.87656,0
-1445.537053,175,170.116864,0
-1318.590939,288,171.952659,0
-1282.868379,136,172.625886,0
-1469.927516,169,173.84448,0
-1534.828403,185,175.08885,0
-1311.35568,139,175.738387,0
-1364.48528,131,176.403312,0
-1373.661676,269,178.228102,0
-1248.855692,133,178.884045,0
-892.509291,135,180.074415,0
-1467.567283,281,181.919965,0
-1311.749647,124,182.563913,0
-1389.063126,174,183.771517,0
-1599.978074,295,185.816936,0
-1335.266766,130,186.5123,0
-1336.620427,138,187.151741,0
-1275.309701,148,188.3786,0
-1339.123188,177,189.102777,0
-1215.369273,146,190.349662,0
-1365.856074,136,191.012254,0
-1343.984564,144,192.229099,0
-1354.630989,128,192.904038,0
-1466.844978,203,194.170483,0
-1332.534702,122,194.800082,0
-1453.165218,246,196.594896,0
-1262.687987,146,197.251483,0
-511.916348,104,197.870717,0
-1237.756856,149,199.068553,0
-1304.301644,122,199.706253,0
-1364.122261,111,200.345306,0
-1316.366987,124,200.963538,0
-1289.451941,158,202.131336,0
-1214.981562,148,202.783141,0
-1246.087584,129,204.020606,0
-1284.329608,125,204.788853,0
-1431.727264,109,205.454644,0
-1310.780378,124,206.104297,0
-1327.453071,105,206.752124,0
-1279.688056,149,208.015685,0
-1318.793044,116,208.662685,0
-1315.854661,122,209.357452,0
-1340.192383,122,210.008218,0
-1392.866469,114,210.698164,0
-1229.910626,130,211.943457,0
-1393.88435,109,212.579343,0
-1341.277977,103,213.272244,0
-1377.250742,128,213.93661,0
-1263.108554,145,215.158521,0
-1371.366774,103,215.812994,0
-1390.397194,100,216.427857,0
-1397.26451,170,217.178809,0
-1394.996166,112,217.829821,0
-1294.162548,131,219.011418,0
-1278.797567,133,219.709153,0
-1408.371303,124,220.34609,0
-1350.829345,132,221.585284,0
-1304.325909,143,222.262515,0
-585.031033,98,222.902737,0
-1387.156539,134,223.619304,0
-1440.306217,137,224.813073,0
-1325.556819,125,225.504924,0
-1371.547141,117,226.16206,0
-1522.120094,134,227.415299,0
-1298.050382,143,228.125477,0
-1375.540302,125,228.841373,0
-1423.297491,193,230.139064,0
-1389.548987,124,230.82357,0
-1380.934024,121,232.03806,0
-670.285139,138,232.714337,0
-1446.151285,130,233.413445,0
-1501.619999,156,234.636867,0
-605.253441,224,235.94394,0
-1070.214934,391,238.39112,0
-1328.386116,251,239.672248,0
-1424.675455,189,240.879231,0
-1508.034458,401,243.551218,0
-1746.933023,290,245.459813,0
-2024.063547,373,247.996594,0
-1681.87626,219,249.283265,0
-1449.189787,235,251.093763,0
-1631.468727,244,252.472181,0
-360.755098,65,253.06706,0
-1467.229705,214,254.368505,0
-1484.776974,190,255.658583,0
-1535.830204,160,256.332565,0
-1436.01461,156,257.580649,0
-1282.85569,253,258.877244,0
-1473.971411,158,260.13395,0
