#{"t_start": 1605971973.361055, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-1214.615722,102,32.456451,0
-1334.380096,88,32.586541,0
-1269.243028,81,32.723019,0
-388.010725,48,32.793504,0
-1241.347283,104,32.956812,0
-1328.093973,87,33.096418,0
-1218.628539,95,33.249886,0
-1295.594864,97,33.404553,0
-1266.491579,86,33.528814,0
-1405.165958,89,33.681824,0
-1325.906831,83,33.807575,0
-1311.399029,102,33.971097,0
-437.066411,56,34.055749,0
-1329.975638,97,34.212769,0
-1273.067667,97,34.373118,0
-1360.520257,85,34.49491,0
-1255.518933,97,34.651756,0
-1294.344631,89,34.788548,0
-1241.089003,83,34.929497,0
-1297.275484,82,35.048074,0
-1268.89979,98,35.231677,0
-1220.481743,99,35.398689,0
-1256.034304,115,35.602914,0
-1217.45817,90,35.741878,0
-1260.172353,84,35.883527,0
-1271.4569,84,36.023084,0
-1259.080293,87,36.154355,0
-1208.00164,100,36.31887,0
-1257.901573,88,36.449764,0
-1216.945899,85,36.59579,0
-358.098917,41,36.665873,0
-1255.809546,81,36.78815,0
-1238.58448,93,36.960267,0
-1286.368103,85,37.087584,0
-1188.726623,87,37.243587,0
-1297.472421,89,37.384959,0
-1321.468953,81,37.519154,0
-1223.971464,89,37.652675,0
-1193.269701,102,37.828025,0
-1237.267903,89,37.973979,0
-1192.313797,88,38.110104,0
-1255.403377,81,38.240589,0
-1237.882301,80,38.373035,0
-355.337329,44,38.447233,0
-1213.135353,94,38.607577,0
-1225.572106,85,38.733286,0
-1229.782732,87,38.883268,0
-1280.66716,99,39.035043,0
-1310.038224,87,39.193269,0
-1261.156235,85,39.323039,0
-361.816727,41,39.385471,0
-1231.27435,111,39.580575,0
-1308.222381,90,39.713061,0
-1327.688602,94,39.874665,0
-1263.942868,89,40.005511,0
-1420.039676,103,40.17788,0
-1294.484057,83,40.305871,0
-1287.400156,94,40.460164,0
-1378.859783,84,40.594317,0
-1351.755755,85,40.731294,0
-1269.448841,86,40.87889,0
-1237.830909,80,40.995929,0
